CountryRegionName;EDAD;Gender;MaritalStatus;NumberCarsOwned;TotalChildren;BikeBuyer;AvgMonthSpend;
Australia;37;M;M;3;1;1;50.97;
Canada;52;M;M;2;2;1;53.11;
United States;39;F;S;3;0;1;54.08;
United Kingdom;47;M;M;2;2;1;56.93;
Germany;49;M;S;1;0;1;55.41;
United States;49;F;M;2;2;1;49.31;
United States;53;M;S;1;0;0;56.01;
Australia;27;F;M;1;0;1;49.29;
France;48;F;M;0;2;1;50.05;
France;48;M;S;1;0;0;54.15;
United States;26;F;S;1;0;0;54.02;
United States;43;M;M;3;0;0;58.29;
United States;40;F;M;1;2;1;52.66;
Australia;64;M;M;2;2;0;52.5;
United Kingdom;33;M;S;1;0;0;49.61;
United States;53;F;M;2;2;1;49.04;
United States;59;F;S;3;1;1;50.48;
Canada;31;M;S;2;0;1;51;
Germany;43;M;M;2;2;0;58.69;
France;61;M;S;1;1;0;52.3;
United States;44;F;M;0;2;0;50.38;
Germany;48;F;M;0;2;1;53.22;
Canada;63;M;S;1;1;0;51.88;
United States;28;M;M;1;0;0;49.72;
Australia;31;F;M;0;0;1;48.76;
United States;35;F;S;2;0;1;52.03;
France;34;M;M;2;1;1;49.89;
Germany;58;M;M;3;2;1;51.15;
Australia;41;M;S;1;0;1;53.53;
Australia;38;F;M;2;1;0;50.59;
France;40;F;M;1;2;1;49.29;
France;44;F;S;0;0;0;49;
United States;46;F;S;2;0;1;54.71;
Canada;46;M;M;2;2;1;55.64;
United States;27;M;M;0;0;0;50.55;
United States;36;M;M;2;1;0;50.16;
Germany;34;M;S;1;0;0;51.02;
France;28;F;S;0;0;1;52.17;
Australia;37;F;S;2;0;1;52.31;
United Kingdom;41;M;M;0;1;1;53.13;
France;39;F;M;1;2;0;48.89;
United States;42;M;M;0;1;0;52.46;
France;38;F;S;3;0;0;50.21;
France;36;M;M;3;2;1;53.97;
Australia;40;F;S;2;0;0;50.85;
France;50;F;S;1;0;0;47.53;
United States;42;M;M;0;1;1;50.48;
Australia;53;F;M;1;2;0;50.57;
United States;39;M;S;0;0;1;48.1;
United States;35;F;M;1;1;1;51.99;
Germany;29;M;S;0;0;1;51.43;
Australia;37;F;M;2;1;1;55.52;
France;40;F;S;2;0;1;50.76;
France;30;M;S;1;0;1;47.68;
Australia;38;M;S;2;0;1;57.1;
United States;26;M;S;1;0;0;46.25;
United States;58;F;S;1;1;0;51.34;
Germany;31;F;S;1;0;0;51.29;
United States;39;F;M;2;1;1;49.64;
United States;59;F;M;2;2;1;50.98;
United States;44;M;M;1;2;0;58.85;
Australia;58;F;S;3;1;1;52.81;
United States;67;F;M;1;2;1;53.16;
United Kingdom;39;M;S;2;0;1;49.8;
United States;38;M;M;0;1;1;59.05;
Australia;40;M;M;2;2;1;54.19;
Australia;25;M;S;1;0;0;55.8;
United Kingdom;53;M;M;1;2;0;48.95;
United States;46;M;M;2;2;1;55.26;
United States;54;F;S;3;0;1;51.75;
Germany;28;F;S;2;0;1;51.48;
United States;47;M;M;1;2;1;55.34;
United States;28;F;S;2;0;1;51.97;
Australia;37;M;S;2;0;1;54.5;
United States;48;F;M;0;1;1;48.12;
Australia;42;M;S;1;0;0;57.27;
Canada;44;F;S;2;0;0;54.25;
United States;53;M;M;1;2;0;53.22;
France;36;M;M;1;1;1;52.19;
Australia;55;F;S;0;0;0;46.19;
United States;29;F;S;0;0;0;45.76;
United States;57;F;M;0;2;1;50.02;
United States;67;M;M;1;2;1;53.77;
Germany;58;F;S;1;1;0;51.62;
Germany;35;F;S;1;0;0;50.42;
United States;30;M;S;3;0;0;52.17;
Australia;52;F;S;1;0;0;53.1;
Australia;43;F;M;0;2;1;50.64;
United States;57;M;M;3;2;1;52.48;
United States;48;F;M;1;2;1;52.85;
United States;40;M;S;3;0;1;59.52;
Germany;37;F;M;0;1;1;52.61;
France;47;F;S;3;0;1;53.81;
United Kingdom;31;M;S;1;0;0;52.65;
Germany;32;F;M;2;1;1;51.69;
France;39;M;S;1;0;0;56.39;
United States;64;M;M;2;3;0;50.62;
Australia;43;M;S;2;0;1;57.61;
United States;66;F;M;1;2;0;47.02;
United Kingdom;27;F;M;2;0;0;48.54;
United States;61;M;M;3;2;1;56.63;
France;61;M;S;3;1;0;50.09;
Germany;30;F;S;1;0;0;52.78;
Australia;37;F;S;2;0;1;51.61;
France;36;M;M;0;1;1;48.05;
United States;64;M;M;2;2;0;48.53;
Australia;38;F;S;1;0;0;48.33;
United Kingdom;36;F;S;2;0;1;54.89;
Australia;28;M;M;0;0;0;51.31;
Canada;48;M;S;1;0;0;50.51;
Australia;27;F;M;0;0;1;50.25;
Australia;38;M;S;2;0;1;56.85;
France;56;F;M;1;2;1;50.94;
United States;41;F;M;3;2;1;54.67;
United States;51;M;S;2;0;1;55.61;
Canada;51;F;S;2;0;1;54.2;
United States;33;F;S;1;0;0;49.68;
United States;31;M;S;1;0;0;54.55;
Germany;62;F;M;1;2;0;54.11;
France;44;F;M;2;2;0;49.58;
Germany;58;F;S;2;1;0;53.03;
Australia;39;M;S;1;0;0;56.24;
United States;34;M;M;2;2;1;52.27;
United Kingdom;40;F;M;0;1;0;47.28;
United States;27;F;S;1;0;0;51.54;
United States;41;M;M;3;0;0;57.71;
Canada;49;M;M;1;2;1;54.24;
United Kingdom;42;M;S;1;0;1;48.11;
United States;48;F;M;2;2;1;50.06;
Australia;33;F;S;1;0;0;55.41;
United States;52;F;M;2;2;1;51.7;
United States;46;M;M;2;1;1;54.03;
United States;32;M;S;1;0;1;52.71;
United States;55;M;M;0;2;1;52.73;
United States;64;M;M;2;3;0;51;
Canada;37;F;S;2;0;1;52.96;
United States;65;F;S;0;1;1;49.14;
United States;28;M;S;2;0;0;52.62;
United States;43;M;S;1;0;1;61.12;
United States;35;M;S;1;0;1;51.66;
United States;48;F;M;1;2;1;48.74;
France;44;M;S;2;0;1;50.33;
United States;45;F;M;2;0;1;52.71;
Australia;54;M;M;2;2;0;50.78;
United States;44;M;M;1;2;0;53.52;
Australia;30;M;S;1;0;0;48.73;
Germany;39;M;S;1;0;0;60.78;
Germany;51;M;M;1;2;1;57.06;
United States;39;F;M;3;0;0;51.26;
United States;33;F;M;1;2;1;52.95;
Australia;60;F;S;2;1;1;49.93;
Canada;29;F;S;1;0;0;48.8;
France;39;M;M;2;1;1;52.42;
Germany;62;F;S;0;1;1;53.16;
Australia;29;M;S;2;0;0;56.7;
Australia;37;F;M;3;0;1;51.04;
United States;40;F;S;1;0;0;49.99;
United States;45;M;S;1;0;0;56.33;
United States;57;F;M;3;2;1;50.8;
United States;44;F;M;3;2;1;53.12;
France;28;F;S;2;0;0;53.95;
United States;47;F;M;2;1;1;49.8;
United States;46;F;S;1;0;0;56.22;
Germany;28;M;S;0;0;0;46.38;
United States;47;F;S;3;0;0;50.38;
France;53;F;M;0;2;1;48.62;
Germany;48;M;S;1;0;0;57.32;
United States;50;M;M;2;1;1;57.36;
United States;24;M;M;0;0;1;48.84;
Canada;31;M;S;2;0;1;54.84;
United States;52;M;M;0;2;1;52.5;
United States;26;F;M;2;0;0;48.28;
Germany;59;M;M;3;2;1;49.99;
Germany;24;M;S;1;0;0;48.21;
United States;42;M;M;1;1;1;59.27;
Australia;58;M;S;1;1;1;50.3;
Australia;51;F;S;0;0;0;47.46;
United States;48;M;M;2;2;1;53.79;
United Kingdom;35;M;S;2;0;0;52.2;
United States;50;M;M;1;2;1;54.72;
Canada;62;F;M;0;2;1;52.93;
United States;41;M;M;2;1;1;57.56;
Germany;42;M;S;0;0;1;51.78;
France;51;F;M;1;1;1;48.36;
United States;45;F;M;1;2;1;50.5;
United States;29;F;S;0;0;0;47.15;
United States;51;M;M;0;2;1;49.83;
France;48;M;M;2;2;1;54.85;
Australia;44;F;M;2;2;1;51.33;
United States;61;F;S;1;1;0;50.72;
Canada;38;F;S;2;0;1;53.04;
Canada;25;M;S;2;0;1;51.53;
Canada;47;F;M;1;2;1;48.65;
United States;44;M;M;1;2;0;53.81;
United States;36;M;S;2;0;1;54.8;
United States;36;F;S;2;0;1;55.82;
United States;28;F;S;2;0;1;51.39;
France;36;F;M;3;0;0;51.2;
United States;31;F;S;2;0;0;53.98;
Australia;60;M;M;1;2;1;50.08;
Canada;53;F;S;0;0;0;52.24;
Germany;29;M;S;1;0;0;50.99;
Australia;30;F;M;2;0;1;47.93;
United Kingdom;43;F;M;3;2;1;54.16;
United States;44;M;M;1;2;0;58.64;
Canada;51;F;S;1;0;0;49.64;
Australia;57;M;M;0;2;1;48.5;
Australia;25;F;M;1;0;0;48.52;
Australia;47;F;M;3;2;1;53.51;
United States;41;F;S;1;0;0;51.35;
France;42;M;M;4;2;0;52.17;
United States;39;F;M;2;2;1;55.47;
United States;25;F;S;1;0;0;49.34;
United States;46;F;S;2;0;1;54.91;
United States;42;M;S;1;0;1;57.12;
United States;43;F;M;2;2;1;49.84;
United States;35;M;S;2;0;1;51.55;
United States;50;M;M;2;2;1;56.89;
Australia;58;M;M;0;2;0;46.82;
Germany;41;M;S;0;0;1;50.43;
United States;26;F;S;1;0;0;48.2;
Canada;59;M;M;2;2;1;54.53;
Australia;65;F;M;0;3;0;48.28;
United States;39;F;M;0;1;0;47.03;
France;55;M;S;0;0;0;53.02;
United States;54;M;S;0;0;1;48.04;
United States;38;M;M;0;2;1;61.69;
